2017-08-03,9.4
2017-08-06,9.4
2017-08-07,9.4
2017-08-08,9.4
2017-08-09,9.32
2017-08-10,9.3
2017-08-13,9.26
2017-08-14,9.14
2017-08-15,9.11
2017-08-16,9.11
2017-08-17,9.11
2017-08-20,9.11
2017-08-21,9.11
2017-08-22,9.11
2017-08-23,9.11
2017-08-24,9.11
2017-08-27,9.11
2017-08-28,9.11
2017-08-29,9.08
2017-08-30,9.15
2017-08-31,9.15
2017-09-03,9.3
2017-09-04,9.3
2017-09-05,9.3
2017-09-06,9.3
2017-09-07,9.3
2017-09-10,9.3
2017-09-11,9.3
2017-09-12,9.3
2017-09-13,9.3
2017-09-14,9.3
2017-09-17,9.15
2017-09-18,9.1
2017-09-19,9.1
2017-09-20,9.1
2017-09-21,9.1
2017-09-24,9.1
2017-09-25,9.1
2017-09-26,9.1
2017-09-27,8.91
2017-09-28,8.9
2017-10-01,8.9
2017-10-02,8.9
2017-10-03,8.9
2017-10-04,8.9
2017-10-05,8.9
2017-10-08,8.9
2017-10-09,8.9
2017-10-10,8.9
2017-10-11,8.74
2017-10-12,8.69
2017-10-15,8.69
2017-10-16,8.61
2017-10-17,8.61
2017-10-18,8.61
2017-10-19,8.61
2017-10-22,8.51
2017-10-23,8.51
2017-10-24,8.6
2017-10-25,8.6
2017-10-26,8.6
2017-10-29,8.6
2017-10-30,8.6
2017-10-31,8.6
2017-11-01,8.6
2017-11-02,8.6
2017-11-06,8.6
2017-11-07,8.6
2017-11-08,8.55
2017-11-09,8.55
2017-11-12,8.55
2017-11-13,8.55
2017-11-14,8.42
2017-11-15,8.42
2017-11-16,8.4
2017-11-19,8.4
2017-11-20,8.4
2017-11-21,8.4
2017-11-22,8.4
2017-11-23,8.4
2017-11-26,8.4
2017-11-27,8.4
2017-11-28,8.53
2017-11-29,8.55
2017-11-30,8.55
2017-12-03,8.55
2017-12-04,8.55
2017-12-05,8.55
2017-12-06,8.55
2017-12-07,8.55
2017-12-10,8.55
2017-12-11,8.55
2017-12-12,8.55
2017-12-13,8.42
2017-12-14,8.3
2017-12-17,8.3
2017-12-18,8.3
2017-12-19,8.3
2017-12-20,8.28
2017-12-21,8.28
2017-12-24,8.31
2017-12-25,8.31
2017-12-26,8.31
2017-12-27,8.31
2017-12-28,8.31
2018-01-03,8.31
2018-01-04,8.31
2018-01-08,8.31
2018-01-09,8.31
2018-01-10,8.31
2018-01-11,8
2018-01-14,8
2018-01-15,8
2018-01-16,8
2018-01-17,8
2018-01-18,8
2018-01-21,8
2018-01-22,8
2018-01-23,8
2018-01-24,8
2018-01-25,8
2018-01-28,7.51
2018-01-29,7.47
2018-01-30,7.56
2018-01-31,7.63
2018-02-01,7.63
2018-02-04,7.63
2018-02-05,7.63
2018-02-06,7.63
2018-02-07,7.63
2018-02-08,7.63
2018-02-11,7.63
2018-02-12,7.63
2018-02-13,7.63
2018-02-14,7.5
2018-02-15,7.5
2018-02-18,7.5
2018-02-19,7.5
2018-02-20,7.5
2018-02-21,7.5
2018-02-25,7.5
2018-02-26,7.5
2018-02-27,7.6
2018-02-28,7.6
2018-03-01,7.6
2018-03-04,7.6
2018-03-05,7.6
2018-03-06,7.6
2018-03-08,7.6
2018-03-11,7.6
2018-03-12,7.6
2018-03-13,7.6
2018-03-14,7.6
2018-03-15,7.6
2018-03-18,7.6
2018-03-19,7.6
2018-03-20,7.6
2018-03-21,7.52
2018-03-22,7.52
2018-03-25,7.52
2018-03-26,7.52
2018-03-27,7.5
2018-03-28,7.5
2017-08-03,7.55
2017-08-06,7.55
2017-08-07,7.55
2017-08-08,7.55
2017-08-09,7.55
2017-08-10,7.55
2017-08-13,7.55
2017-08-14,7.55
2017-08-15,7
2017-08-16,7
2017-08-17,7
2017-08-20,7
2017-08-21,7
2017-08-22,7
2017-08-23,7
2017-08-24,7
2017-08-27,7
2017-08-28,7
2017-08-29,7.1
2017-08-30,7.1
